,Target,Target_Namespace,Target_Method,Job_Id,Job_OutlierMode,Job_Toolchain,Job_IterationCount,Job_LaunchCount,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,774849025.982906,853.3333333333334,934.0235280854702,29.0,9.0,0.0,357660.53846153844,349.27786959134613,,19.23076923076923,20.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324191269704232,167510377.1057886,241.56566933804925,105.11399317406963,8.492543062665792,2.830847687555264,0.0,0.9302605094190634,0.0009084575287295541,,11.575677600351126,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,495773300.0,512.0,796.9090799999999,17.0,5.0,0.0,357659.0,349.2763671875,,0.0,20.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,569052600.0,512.0,846.3364300000001,17.0,5.0,0.0,357660.0,349.27734375,,9.0,20.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,858942000.0,1024.0,890.20654,35.0,11.0,0.0,357660.0,349.27734375,,19.0,20.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,890509700.0,1024.0,1009.08086,35.0,11.0,0.0,357662.0,349.279296875,,29.0,20.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,1013129500.0,1024.0,1318.55215,35.0,11.0,0.0,357662.0,349.279296875,,39.0,20.0
count,600,600,600,600,600,600,600.0,600.0,600.0,600,600,600.0,600,600,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600,600.0,600.0
unique,1,1,1,1,1,1,,,,1,40,,1,1,,,,,,,,,,1,,
top,Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=30&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,600,600,600,600,600,600,,,,600,15,,600,600,,,,,,,,,,600,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,739042720.4166666,214.4,3595.1104611,16.75,11.05,5.025,749677.8,732.1072265625,,19.5,30.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324098717211907,153222294.54201937,60.00200330545455,744.7401960224964,4.687656508238637,2.8125939049431823,1.4062969524715911,1.6013350023181958,0.001563803713201363,,11.553027918695179,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,396774600.0,128.0,2857.34805,10.0,7.0,3.0,749674.0,732.103515625,,0.0,30.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,566456800.0,128.0,2995.2082975000003,10.0,7.0,3.0,749676.0,732.10546875,,9.75,30.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,758361900.0,256.0,3433.00664,20.0,13.0,6.0,749679.0,732.1083984375,,19.5,30.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,866471400.0,256.0,4044.6248075,20.0,13.0,6.0,749679.0,732.1083984375,,29.25,30.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,1019788800.0,256.0,6792.757809999999,20.0,13.0,6.0,749679.0,732.1083984375,,39.0,30.0
count,570,570,570,570,570,570,570.0,570.0,570.0,570,570,570.0,570,570,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570,570.0,570.0
unique,1,1,1,1,1,1,,,,1,38,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_GrassSquares,Benchmarks,Grass Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,570,570,570,570,570,570,,,,570,15,,570,570,,,,,,,,,,570,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,640499973.8596492,2048.0,312.7441276842105,65.0,21.0,0.0,335817.0,327.9462890625,,19.210526315789473,10.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.32428869980101,19486079.023148306,0.0,9.514687235890474,0.0,0.0,0.0,0.0,0.0,,11.72658170684986,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,595317400.0,2048.0,290.68232,65.0,21.0,0.0,335817.0,327.9462890625,,0.0,10.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,627667975.0,2048.0,306.4785025,65.0,21.0,0.0,335817.0,327.9462890625,,9.0,10.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,639624250.0,2048.0,312.31652499999996,65.0,21.0,0.0,335817.0,327.9462890625,,18.5,10.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,650251350.0,2048.0,317.50554250000005,65.0,21.0,0.0,335817.0,327.9462890625,,29.0,10.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,731518900.0,2048.0,357.18696,65.0,21.0,0.0,335817.0,327.9462890625,,39.0,10.0
count,585,585,585,585,585,585,585.0,585.0,585.0,585,585,585.0,585,585,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585,585.0,585.0
unique,1,1,1,1,1,1,,,,1,39,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_GrassSquares,Benchmarks,Grass Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=20&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,585,585,585,585,585,585,,,,585,15,,585,585,,,,,,,,,,585,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,650546311.8803419,321.64102564102564,2048.472137760684,28.897435897435898,28.897435897435898,28.897435897435898,1111181.0256410257,1085.1377203525642,,19.23076923076923,20.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324191269704232,197039118.0053693,111.87830208936099,106.26174101228223,10.051566203341025,10.051566203341025,10.051566203341025,2.0207042142782017,0.0019733439592560563,,11.575677600351126,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,486097700.0,256.0,1840.50625,23.0,23.0,23.0,1111178.0,1085.134765625,,0.0,20.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,527967700.0,256.0,1948.39863,23.0,23.0,23.0,1111178.0,1085.134765625,,9.0,20.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,546070700.0,256.0,2060.84297,23.0,23.0,23.0,1111182.0,1085.138671875,,19.0,20.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,946941400.0,512.0,2131.75156,46.0,46.0,46.0,1111182.0,1085.138671875,,29.0,20.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,1043012300.0,512.0,2330.5375,46.0,46.0,46.0,1111185.0,1085.1416015625,,39.0,20.0
count,600,600,600,600,600,600,600.0,600.0,600.0,600,600,600.0,600,600,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600,600.0,600.0
unique,1,1,1,1,1,1,,,,1,40,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_GrassSquares,Benchmarks,Grass Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=30&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,600,600,600,600,600,600,,,,600,15,,600,600,,,,,,,,,,600,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,869689450.5833334,115.2,7841.922619700001,22.4,22.4,22.4,2403403.85,2347.074072265625,,19.5,30.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324098717211907,135815245.50188166,25.62136003709113,1846.966162770001,5.204338757534136,5.204338757534136,5.204338757534136,2.187573037178031,0.0021363017941191708,,11.553027918695179,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,417509300.0,64.0,6427.51797,12.0,12.0,12.0,2403398.0,2347.068359375,,0.0,30.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,859048675.0,128.0,6858.48867,25.0,25.0,25.0,2403402.0,2347.072265625,,9.75,30.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,885543500.0,128.0,7325.616405,25.0,25.0,25.0,2403405.0,2347.0751953125,,19.5,30.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,966804225.0,128.0,7748.878125,25.0,25.0,25.0,2403405.0,2347.0751953125,,29.25,30.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,1009709000.0,128.0,15545.37656,25.0,25.0,25.0,2403409.0,2347.0791015625,,39.0,30.0
count,570,570,570,570,570,570,570.0,570.0,570.0,570,570,570.0,570,570,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570,570.0,570.0
unique,1,1,1,1,1,1,,,,1,38,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_NormalSquares,Benchmarks,Normal Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=MRV&Size=10&s=0,,Workload,Result,,,,,,,,,,MRV,,
freq,570,570,570,570,570,570,,,,570,15,,570,570,,,,,,,,,,570,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,753247421.1403508,512.0,1471.186369631579,206.21052631578948,182.81578947368422,168.21052631578948,3749693.947368421,3661.8104954769738,,19.210526315789473,10.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.32428869980101,23086317.717791338,0.0,45.090464387437635,0.9229897570251782,1.4676702810982631,0.9229897570251782,111.59892741146534,0.10898332755025912,,11.72658170684986,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,701390500.0,512.0,1369.90332,203.0,180.0,165.0,3749435.0,3661.5576171875,,0.0,10.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,738703350.0,512.0,1442.7799825,206.0,182.0,168.0,3749615.0,3661.7333984375,,9.0,10.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,750302950.0,512.0,1465.43545,206.0,183.0,168.0,3749719.5,3661.83544921875,,18.5,10.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,766504875.0,512.0,1497.0798325,207.0,184.0,169.0,3749782.0,3661.896484375,,29.0,10.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,916557900.0,512.0,1790.15215,208.0,186.0,170.0,3749852.0,3661.96484375,,39.0,10.0
count,585,585,585,585,585,585,585.0,585.0,585.0,585,585,585.0,585,585,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585,585.0,585.0
unique,1,1,1,1,1,1,,,,1,39,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_NormalSquares,Benchmarks,Normal Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=MRV&Size=20&s=0,,Workload,Result,,,,,,,,,,MRV,,
freq,585,585,585,585,585,585,,,,585,15,,585,585,,,,,,,,,,585,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,881289331.2820513,119.7948717948718,7383.088816119657,90.23076923076923,78.66666666666667,65.02564102564102,14132561.128205128,13801.32922676282,,19.23076923076923,20.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324191269704232,151236623.3874172,21.414667575171713,323.9283150078973,16.21526034547871,14.074775844342712,11.533499108509318,154.29471324481702,0.15067843090314162,,11.575677600351126,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,444781200.0,64.0,6797.18672,48.0,42.0,35.0,14132217.0,13800.9931640625,,0.0,20.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,900564000.0,128.0,7143.664059999999,96.0,84.0,69.0,14132431.0,13801.2021484375,,9.0,20.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,927614100.0,128.0,7321.87266,96.0,84.0,69.0,14132570.0,13801.337890625,,19.0,20.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,952332300.0,128.0,7564.13516,97.0,84.0,70.0,14132671.0,13801.4365234375,,29.0,20.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,1055587700.0,128.0,8346.74453,97.0,85.0,70.0,14132910.0,13801.669921875,,39.0,20.0
count,600,600,600,600,600,600,600.0,600.0,600.0,600,600,600.0,600,600,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600,600.0,600.0
unique,1,1,1,1,1,1,,,,1,40,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_NormalSquares,Benchmarks,Normal Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=MRV&Size=30&s=0,,Workload,Result,,,,,,,,,,MRV,,
freq,600,600,600,600,600,600,,,,600,15,,600,600,,,,,,,,,,600,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,622795852.0,32.0,19462.37037745,36.0,33.0,22.0,31435563.175,30698.79216308594,,19.5,30.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.324098717211907,31193231.386064675,0.0,974.7884808543745,0.0,0.0,0.0,151.6214347449711,0.14806780736813585,,11.553027918695179,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,564754100.0,32.0,17648.565629999997,36.0,33.0,22.0,31435472.0,30698.703125,,0.0,30.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,597786825.0,32.0,18680.8382825,36.0,33.0,22.0,31435501.75,30698.732177734375,,9.75,30.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,628511650.0,32.0,19640.989065,36.0,33.0,22.0,31435506.0,30698.736328125,,19.5,30.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,645818750.0,32.0,20181.8359375,36.0,33.0,22.0,31435511.0,30698.7412109375,,29.25,30.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,711026300.0,32.0,22219.57188,36.0,33.0,22.0,31436000.0,30699.21875,,39.0,30.0
count,570,570,570,570,570,570,570.0,570.0,570.0,570,570,570.0,570,570,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570,570.0,570.0
unique,1,1,1,1,1,1,,,,1,38,,1,1,,,,,,,,,,1,,
top,Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=MRV&Size=10&s=0,,Workload,Result,,,,,,,,,,MRV,,
freq,570,570,570,570,570,570,,,,570,15,,570,570,,,,,,,,,,570,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,685669963.3333334,4096.0,167.39989314035088,47.0,9.0,0.0,122423.0,119.5537109375,,19.210526315789473,10.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.32428869980101,28171906.586661644,0.0,6.877906711743262,0.0,0.0,0.0,0.0,0.0,,11.72658170684986,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,615680300.0,4096.0,150.31257,47.0,9.0,0.0,122423.0,119.5537109375,,0.0,10.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,659770400.0,4096.0,161.076755,47.0,9.0,0.0,122423.0,119.5537109375,,9.0,10.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,687264150.0,4096.0,167.7891,47.0,9.0,0.0,122423.0,119.5537109375,,18.5,10.0
